time, timestep, x, y, lum
1712906131188926300, 0, 0, 0, 2.0
1712906134026598300, 1, 0, 1, 4.0
1712906135644983100, 2, 0, 2, 1.0
1712906137263907800, 3, 0, 3, 4.0
1712906139078672000, 4, 0, 4, 2.0
1712906140879716100, 5, 0, 5, 2.0
1712906142845363100, 6, 0, 6, 6.0
1712906144267105600, 7, 0, 7, 6.0
1712906146024721100, 8, 0, 8, 4.0
1712906147735266100, 9, 0, 9, 4.0
1712906150484596900, 10, 1, 9, 5.0
1712906152429608000, 11, 1, 8, 4.0
1712906154063617700, 12, 1, 7, 7.0
1712906155655012800, 13, 1, 6, 9.0
1712906157560704700, 14, 1, 5, 4.0
1712906159300187700, 15, 1, 4, 4.0
1712906160710557900, 16, 1, 3, 2.0
1712906162854795100, 17, 1, 2, 2.0
1712906164492060200, 18, 1, 1, 0.0
1712906166454054900, 19, 1, 0, 2.0
1712906168568541700, 20, 2, 0, 6.0
1712906170698633600, 21, 2, 1, 2.0
1712906172439116900, 22, 2, 2, 4.0
1712906174183603100, 23, 2, 3, 7.0
1712906176010364900, 24, 2, 4, 2.0
1712906177914233100, 25, 2, 5, 9.0
1712906179927750700, 26, 2, 6, 8.0
1712906181888394600, 27, 2, 7, 7.0
1712906183613245200, 28, 2, 8, 7.0
1712906185264943300, 29, 2, 9, 5.0
1712906187636886900, 30, 3, 9, 9.0
1712906189554674500, 31, 3, 8, 18.0
1712906191262755300, 32, 3, 7, 7.0
1712906192973290600, 33, 3, 6, 7.0
1712906194909921600, 34, 3, 5, 8.0
1712906197418436600, 35, 3, 4, 2.0
1712906199228655100, 36, 3, 3, 2.0
1712906201030254200, 37, 3, 2, 2.0
1712906203237993900, 38, 3, 1, 2.0
1712906205787599200, 39, 3, 0, 4.0
1712906208112044600, 40, 4, 0, 2.0
1712906210253736900, 41, 4, 1, 2.0
1712906212522220100, 42, 4, 2, 7.0
1712906214832603900, 43, 4, 3, 17.0
1712906216767516900, 44, 4, 4, 9.0
1712906218398441500, 45, 4, 5, 7.0
1712906220038020700, 46, 4, 6, 9.0
1712906222257719600, 47, 4, 7, 9.0
1712906223979971500, 48, 4, 8, 10.0
1712906225974201300, 49, 4, 9, 4.0
1712906228725805500, 50, 5, 9, 18.0
1712906230835007900, 51, 5, 8, 5.0
1712906232573046300, 52, 5, 7, 8.0
1712906235115817100, 53, 5, 6, 12.0
1712906236939667700, 54, 5, 5, 68.0
1712906238560640600, 55, 5, 4, 2.0
1712906240180765000, 56, 5, 3, 6.0
1712906241902830500, 57, 5, 2, 2.0
1712906244216950400, 58, 5, 1, 2.0
1712906245833387500, 59, 5, 0, 2.0
1712906248022279600, 60, 6, 0, 2.0
1712906250758517300, 61, 6, 1, 7.0
1712906252402922100, 62, 6, 2, 4.0
1712906254232805100, 63, 6, 3, 13.0
1712906255867650800, 64, 6, 4, 7.0
1712906257490555300, 65, 6, 5, 21.0
1712906259198193000, 66, 6, 6, 34.0
1712906260593147600, 67, 6, 7, 34.0
1712906262439313700, 68, 6, 8, 37.0
1712906264979684200, 69, 6, 9, 11.0
1712906267376329700, 70, 7, 9, 24.0
1712906269309095300, 71, 7, 8, 57.0
1712906271229353900, 72, 7, 7, 37.0
1712906272623479900, 73, 7, 6, 27.0
1712906274453344300, 74, 7, 5, 65.0
1712906276090728400, 75, 7, 4, 4.0
1712906278326244300, 76, 7, 3, 2.0
1712906280653054400, 77, 7, 2, 4.0
1712906282496471800, 78, 7, 1, 2.0
1712906284101052200, 79, 7, 0, 2.0
1712906286452523400, 80, 8, 0, 4.0
1712906288614194100, 81, 8, 1, 7.0
1712906290340043100, 82, 8, 2, 5.0
1712906292080422400, 83, 8, 3, 7.0
1712906293701106600, 84, 8, 4, 29.0
1712906295957697500, 85, 8, 5, 80.0
1712906297689521900, 86, 8, 6, 87.0
1712906299292518300, 87, 8, 7, 77.0
1712906300942016900, 88, 8, 8, 139.0
1712906302370945200, 89, 8, 9, 56.0
1712906304530629800, 90, 9, 9, 36.0
1712906306262096600, 91, 9, 8, 103.0
1712906307964184700, 92, 9, 7, 172.0
1712906309913410300, 93, 9, 6, 124.0
1712906311535634300, 94, 9, 5, 75.0
1712906314073635000, 95, 9, 4, 0.0
1712906315898000900, 96, 9, 3, 4.0
1712906317532396300, 97, 9, 2, 2.0
1712906321675451200, 98, 9, 1, 4.0
1712906323622707800, 99, 9, 0, 2.0
1712906333087315200, 101, 9, 7, 147.0
