time, timestep, x, y, lum
1712910492791862000, 0, 0, 0, 2.0
1712910496683170500, 1, 1, 1, 4.0
1712910498800452000, 2, 2, 2, 7.0
1712910500916407000, 3, 3, 3, 3.0
1712910503287088700, 4, 4, 4, 6.0
1712910506259416400, 5, 5, 5, 18.0
1712910508400323700, 6, 6, 6, 4.0
1712910510846430800, 7, 7, 7, 79.0
1712910512988945900, 8, 8, 8, 1503.0
1712910515870370500, 9, 7, 8, 204.0
1712910518330146900, 10, 7, 9, 199.0
1712910522577574400, 11, 8, 7, 155.0
1712910526567189600, 12, 8, 9, 402.0
1712910530644355600, 13, 9, 7, 169.0
1712910533675717200, 14, 9, 8, 388.0
1712910535209029400, 15, 9, 9, 205.0
1712910538236710000, 16, 8, 8, 198.0
