time, timestep, x, y, lum
1712909771893551800, 0, 0, 0, 4.0
1712909775787136300, 1, 1, 1, 4.0
1712909777916432900, 2, 2, 2, 2.0
1712909779881627900, 3, 3, 3, 5.0
1712909782042522500, 4, 4, 4, 7.0
1712909784217528700, 5, 5, 5, 9.0
1712909786956781600, 6, 6, 6, 62.0
1712909791715738300, 7, 7, 7, 49.0
1712909794117733200, 8, 8, 8, 207.0
1712909797146313400, 9, 7, 8, 112.0
1712909799517157200, 10, 7, 9, 245.0
1712909803777058000, 11, 8, 7, 237.0
1712909807585429500, 12, 8, 9, 227.0
1712909812179605800, 13, 9, 7, 214.0
1712909815054817500, 14, 9, 8, 454.0
1712909816467328200, 15, 9, 9, 347.0
1712909819121546600, 16, 9, 8, 62.0
1712909822046266700, 17, 9, 9, 206.0
1712909824432096600, 18, 8, 9, 218.0
1712909826370494300, 19, 7, 9, 147.0
1712909828708193600, 20, 6, 8, 64.0
1712909831407055400, 21, 6, 9, 123.0
1712909834481019100, 22, 8, 9, 339.0
1712909834752136800, 23, 8, 9, 183.0
