time, timestep, x, y, lum
1712909634762313200, 0, 0, 0, 2.0
1712909638701321600, 1, 1, 1, 4.0
1712909640819416000, 2, 2, 2, 27.0
1712909642737079500, 3, 3, 3, 2.0
1712909644864718600, 4, 4, 4, 2.0
1712909647617339200, 5, 5, 5, 15.0
1712909649755721600, 6, 6, 6, 10.0
1712909651858483300, 7, 7, 7, 54.0
1712909653835900800, 8, 8, 8, 203.0
1712909656626436600, 9, 7, 8, 107.0
1712909658786542700, 10, 7, 9, 206.0
1712909663033558600, 11, 8, 7, 234.0
1712909666829077400, 12, 8, 9, 197.0
1712909671085879700, 13, 9, 7, 142.0
1712909673785872200, 14, 9, 8, 255.0
1712909675750556600, 15, 9, 9, 171.0
1712909678825950500, 16, 9, 8, 219.0
1712909681466221700, 17, 8, 7, 122.0
1712909683640350700, 18, 7, 6, 102.0
1712909686298375300, 19, 8, 6, 152.0
1712909688021310500, 20, 9, 6, 134.0
1712909691319681300, 21, 9, 8, 130.0
1712909693256241700, 22, 8, 8, 201.0
1712909695791574100, 23, 7, 9, 287.0
1712909698685067600, 24, 6, 8, 86.0
1712909701540078100, 25, 6, 9, 164.0
1712909703744250800, 26, 7, 9, 129.0
