time, timestep, x, y, lum
1712905237934519000, 0, 0, 0, 2.0
1712905240683089100, 1, 0, 1, 2.0
1712905242401529500, 2, 0, 2, 2.0
1712905244304362700, 3, 0, 3, 4.0
1712905246483958200, 4, 0, 4, 2.0
1712905248260057100, 5, 0, 5, 2.0
1712905249930204800, 6, 0, 6, 7.0
1712905251262950400, 7, 0, 7, 4.0
1712905253048451100, 8, 0, 8, 4.0
1712905254580121300, 9, 0, 9, 2.0
1712905257164842600, 10, 1, 9, 4.0
1712905258987094900, 11, 1, 8, 7.0
1712905260683268300, 12, 1, 7, 14.0
1712905262270340800, 13, 1, 6, 7.0
1712905264318815400, 14, 1, 5, 7.0
1712905266142703500, 15, 1, 4, 2.0
1712905267716379000, 16, 1, 3, 2.0
1712905269778851600, 17, 1, 2, 2.0
1712905271792051900, 18, 1, 1, 2.0
1712905274084889300, 19, 1, 0, 4.0
1712905276324804900, 20, 2, 0, 2.0
1712905278400175700, 21, 2, 1, 4.0
1712905280371544900, 22, 2, 2, 4.0
1712905281993890600, 23, 2, 3, 4.0
1712905283896037500, 24, 2, 4, 2.0
1712905285521934900, 25, 2, 5, 7.0
1712905287186566100, 26, 2, 6, 9.0
1712905288730545400, 27, 2, 7, 7.0
1712905290590163900, 28, 2, 8, 17.0
1712905292819544600, 29, 2, 9, 7.0
1712905295061645700, 30, 3, 9, 2.0
1712905297145431000, 31, 3, 8, 6.0
1712905299318167000, 32, 3, 7, 4.0
1712905301044256800, 33, 3, 6, 4.0
1712905302590387800, 34, 3, 5, 4.0
1712905304256694400, 35, 3, 4, 4.0
1712905305607480400, 36, 3, 3, 4.0
1712905307182597000, 37, 3, 2, 2.0
1712905308846797300, 38, 3, 1, 2.0
1712905310555905600, 39, 3, 0, 2.0
1712905312613707700, 40, 4, 0, 1.0
1712905314504037400, 41, 4, 1, 9.0
1712905316213383000, 42, 4, 2, 2.0
1712905317740397000, 43, 4, 3, 2.0
1712905319313501300, 44, 4, 4, 2.0
1712905320982096500, 45, 4, 5, 14.0
1712905322633532200, 46, 4, 6, 92.0
1712905324490476200, 47, 4, 7, 34.0
1712905326094197300, 48, 4, 8, 17.0
1712905327862114400, 49, 4, 9, 19.0
1712905329985706800, 50, 5, 9, 8.0
1712905332080223400, 51, 5, 8, 37.0
1712905333741838700, 52, 5, 7, 42.0
1712905335311668300, 53, 5, 6, 14.0
1712905336880440700, 54, 5, 5, 9.0
1712905338562356200, 55, 5, 4, 3.0
1712905340230083500, 56, 5, 3, 4.0
1712905342100206600, 57, 5, 2, 4.0
1712905343650388300, 58, 5, 1, 2.0
1712905345430388000, 59, 5, 0, 2.0
1712905347712333000, 60, 6, 0, 4.0
1712905349780047700, 61, 6, 1, 2.0
1712905352143337800, 62, 6, 2, 9.0
1712905353660143800, 63, 6, 3, 4.0
1712905355224188100, 64, 6, 4, 11.0
1712905356920685900, 65, 6, 5, 59.0
1712905358601144700, 66, 6, 6, 37.0
1712905360163416800, 67, 6, 7, 52.0
1712905361701754000, 68, 6, 8, 14.0
1712905363370351900, 69, 6, 9, 44.0
1712905365453749300, 70, 7, 9, 12.0
1712905367551610300, 71, 7, 8, 137.0
1712905369325065700, 72, 7, 7, 72.0
1712905371110141400, 73, 7, 6, 29.0
1712905372742833300, 74, 7, 5, 32.0
1712905374440055200, 75, 7, 4, 2.0
1712905376347942400, 76, 7, 3, 2.0
1712905378221593700, 77, 7, 2, 4.0
1712905379888496400, 78, 7, 1, 4.0
1712905381741824800, 79, 7, 0, 2.0
1712905383848039600, 80, 8, 0, 4.0
1712905385945918400, 81, 8, 1, 2.0
1712905387610345300, 82, 8, 2, 2.0
1712905389292160000, 83, 8, 3, 27.0
1712905391180318400, 84, 8, 4, 2.0
1712905392723307700, 85, 8, 5, 62.0
1712905394300146500, 86, 8, 6, 107.0
1712905396484882300, 87, 8, 7, 242.0
1712905398200349500, 88, 8, 8, 159.0
1712905399730581100, 89, 8, 9, 132.0
1712905401816607200, 90, 9, 9, 94.0
1712905403900581500, 91, 9, 8, 72.0
1712905405960338600, 92, 9, 7, 157.0
1712905407820351500, 93, 9, 6, 57.0
1712905409694295400, 94, 9, 5, 22.0
1712905411610412300, 95, 9, 4, 22.0
1712905413300180900, 96, 9, 3, 14.0
1712905415399015800, 97, 9, 2, 2.0
1712905417030096000, 98, 9, 1, 3.0
1712905418588377300, 99, 9, 0, 1.0
1712905427963231100, 101, 8, 7, 14.0
