time, timestep, x, y, lum
1712908452445000600, 0, 0, 0, 4.0
1712908455341032000, 1, 0, 1, 2.0
1712908456765853100, 2, 0, 2, 2.0
1712908461480411700, 3, 0, 3, 0.0
1712908463379820600, 4, 0, 4, 4.0
1712908465004718300, 5, 0, 5, 2.0
1712908466973037300, 6, 0, 6, 4.0
1712908468603063400, 7, 0, 7, 5.0
1712908470205880400, 8, 0, 8, 7.0
1712908471919461700, 9, 0, 9, 4.0
1712908474045366700, 10, 1, 9, 1.0
1712908476570703000, 11, 1, 8, 3.0
1712908478487116700, 12, 1, 7, 7.0
1712908480211042800, 13, 1, 6, 4.0
1712908482144758900, 14, 1, 5, 7.0
1712908483750406100, 15, 1, 4, 2.0
1712908485356985700, 16, 1, 3, 2.0
1712908487672005700, 17, 1, 2, 1.0
1712908489556427600, 18, 1, 1, 2.0
1712908492080545900, 19, 1, 0, 2.0
1712908494388068300, 20, 2, 0, 4.0
1712908496925737200, 21, 2, 1, 9.0
1712908499473744000, 22, 2, 2, 2.0
1712908501299602600, 23, 2, 3, 2.0
1712908502904440800, 24, 2, 4, 4.0
1712908504721092700, 25, 2, 5, 6.0
1712908506132137300, 26, 2, 6, 6.0
1712908508489020000, 27, 2, 7, 8.0
1712908510424209800, 28, 2, 8, 9.0
1712908512039540300, 29, 2, 9, 4.0
1712908514173641000, 30, 3, 9, 22.0
1712908516540441700, 31, 3, 8, 12.0
1712908518280412500, 32, 3, 7, 16.0
1712908520185226000, 33, 3, 6, 7.0
1712908522107870600, 34, 3, 5, 7.0
1712908523861585300, 35, 3, 4, 4.0
1712908526492791800, 36, 3, 3, 9.0
1712908528389466900, 37, 3, 2, 1.0
1712908530309148500, 38, 3, 1, 2.0
1712908532261491400, 39, 3, 0, 2.0
1712908534616310700, 40, 4, 0, 9.0
1712908536745819800, 41, 4, 1, 12.0
1712908538379759400, 42, 4, 2, 3.0
1712908539742918000, 43, 4, 3, 7.0
1712908541664147400, 44, 4, 4, 8.0
1712908543403419400, 45, 4, 5, 10.0
1712908545033578400, 46, 4, 6, 17.0
1712908546660277200, 47, 4, 7, 11.0
1712908548368395300, 48, 4, 8, 14.0
1712908550334146000, 49, 4, 9, 6.0
1712908553309672200, 50, 5, 9, 14.0
1712908555225259500, 51, 5, 8, 6.0
1712908556908723000, 52, 5, 7, 13.0
1712908558855600800, 53, 5, 6, 12.0
1712908560552754600, 54, 5, 5, 12.0
1712908562760476300, 55, 5, 4, 2.0
1712908565312797000, 56, 5, 3, 3.0
1712908567257855600, 57, 5, 2, 2.0
1712908568951412800, 58, 5, 1, 2.0
1712908570569505700, 59, 5, 0, 4.0
1712908572698124300, 60, 6, 0, 4.0
1712908575026222900, 61, 6, 1, 4.0
1712908576854572900, 62, 6, 2, 2.0
1712908578459623900, 63, 6, 3, 9.0
1712908580308064600, 64, 6, 4, 24.0
1712908581924196100, 65, 6, 5, 34.0
1712908583753694400, 66, 6, 6, 39.0
1712908585359107100, 67, 6, 7, 43.0
1712908587175523600, 68, 6, 8, 12.0
1712908589594418200, 69, 6, 9, 15.0
1712908591719125600, 70, 7, 9, 42.0
1712908593848247800, 71, 7, 8, 8.0
1712908595769655600, 72, 7, 7, 39.0
1712908597358802300, 73, 7, 6, 34.0
1712908599810718100, 74, 7, 5, 12.0
1712908601725888400, 75, 7, 4, 2.0
1712908603226550600, 76, 7, 3, 2.0
1712908604829384800, 77, 7, 2, 2.0
1712908606448737500, 78, 7, 1, 2.0
1712908608263849200, 79, 7, 0, 2.0
1712908610603460100, 80, 8, 0, 4.0
1712908612809248100, 81, 8, 1, 7.0
1712908614596212900, 82, 8, 2, 7.0
1712908616392685300, 83, 8, 3, 18.0
1712908618044233300, 84, 8, 4, 12.0
1712908619800722200, 85, 8, 5, 18.0
1712908621509019700, 86, 8, 6, 105.0
1712908623143212300, 87, 8, 7, 306.0
1712908624586421800, 88, 8, 8, 122.0
1712908626292471600, 89, 8, 9, 67.0
1712908628697531100, 90, 9, 9, 34.0
1712908630553760400, 91, 9, 8, 157.0
1712908632342199500, 92, 9, 7, 47.0
1712908634004267900, 93, 9, 6, 116.0
1712908635627668000, 94, 9, 5, 9.0
1712908637367642300, 95, 9, 4, 16.0
1712908639664232400, 96, 9, 3, 4.0
1712908641488996800, 97, 9, 2, 19.0
1712908643111698700, 98, 9, 1, 2.0
1712908644760170600, 99, 9, 0, 3.0
1712908654240365400, 101, 8, 7, 99.0
