time, timestep, x, y, lum
1712910233324483500, 0, 0, 0, 2.0
1712910237260739000, 1, 1, 1, 6.0
1712910239377076600, 2, 2, 2, 2.0
1712910241297807000, 3, 3, 3, 9.0
1712910243426115600, 4, 4, 4, 3.0
1712910245586532200, 5, 5, 5, 8.0
1712910248349723800, 6, 6, 6, 26.0
1712910251294302600, 7, 7, 7, 72.0
1712910253597999700, 8, 8, 8, 1195.0
1712910256236070100, 9, 7, 8, 140.0
1712910258384003300, 10, 7, 9, 197.0
1712910262418061900, 11, 8, 7, 242.0
1712910266210438200, 12, 8, 9, 238.0
1712910270322614600, 13, 9, 7, 218.0
1712910273172199600, 14, 9, 8, 154.0
1712910274717471500, 15, 9, 9, 194.0
1712910277790185500, 16, 8, 8, 235.0
