time, timestep, x, y, lum
1712910151197820000, 0, 0, 0, 2.0
1712910154806739200, 1, 1, 1, 3.0
1712910156936399400, 2, 2, 2, 4.0
1712910159290370100, 3, 3, 3, 7.0
1712910161601556900, 4, 4, 4, 4.0
1712910164335848400, 5, 5, 5, 13.0
1712910166432763200, 6, 6, 6, 17.0
1712910168892957500, 7, 7, 7, 75.0
1712910171050626700, 8, 8, 8, 66.0
1712910173164345200, 9, 9, 9, 165.0
1712910175850708000, 10, 8, 9, 130.0
1712910178987393600, 11, 9, 8, 284.0
1712910179240921900, 12, 9, 8, 514.0
1712910182061401800, 13, 8, 7, 360.0
1712910184701500400, 14, 9, 7, 164.0
1712910186846462600, 15, 9, 8, 162.0
