time, timestep, x, y, lum
1712905876237039700, 0, 0, 0, 2.0
1712905879130748000, 1, 0, 1, 2.0
1712905880734224600, 2, 0, 2, 2.0
1712905882340347000, 3, 0, 3, 2.0
1712905884080897800, 4, 0, 4, 4.0
1712905885999093400, 5, 0, 5, 10.0
1712905887380492400, 6, 0, 6, 4.0
1712905888985593600, 7, 0, 7, 5.0
1712905890635828300, 8, 0, 8, 2.0
1712905892963446000, 9, 0, 9, 2.0
1712905895091164200, 10, 1, 9, 2.0
1712905897010018600, 11, 1, 8, 5.0
1712905898948471200, 12, 1, 7, 8.0
1712905900716611900, 13, 1, 6, 2.0
1712905902332316800, 14, 1, 5, 9.0
1712905904134187700, 15, 1, 4, 9.0
1712905905738652700, 16, 1, 3, 4.0
1712905907554754200, 17, 1, 2, 2.0
1712905909160681600, 18, 1, 1, 1.0
1712905910883027600, 19, 1, 0, 1.0
1712905913074750200, 20, 2, 0, 2.0
1712905914769844600, 21, 2, 1, 4.0
1712905916478485600, 22, 2, 2, 5.0
1712905918113675900, 23, 2, 3, 0.0
1712905919736084800, 24, 2, 4, 4.0
1712905921460294900, 25, 2, 5, 9.0
1712905922870574900, 26, 2, 6, 6.0
1712905924685894000, 27, 2, 7, 9.0
1712905926303126100, 28, 2, 8, 5.0
1712905928000914600, 29, 2, 9, 4.0
1712905929980532800, 30, 3, 9, 2.0
1712905931943003000, 31, 3, 8, 18.0
1712905933715822300, 32, 3, 7, 7.0
1712905935321085900, 33, 3, 6, 9.0
1712905937167211300, 34, 3, 5, 4.0
1712905939128976500, 35, 3, 4, 2.0
1712905941324616500, 36, 3, 3, 2.0
1712905943077789000, 37, 3, 2, 4.0
1712905944498924100, 38, 3, 1, 2.0
1712905946419770600, 39, 3, 0, 3.0
1712905949197577200, 40, 4, 0, 6.0
1712905951296876800, 41, 4, 1, 4.0
1712905953004569700, 42, 4, 2, 9.0
1712905955230095500, 43, 4, 3, 9.0
1712905956965414700, 44, 4, 4, 11.0
1712905958658693800, 45, 4, 5, 4.0
1712905960084657700, 46, 4, 6, 9.0
1712905961823262000, 47, 4, 7, 13.0
1712905963338682000, 48, 4, 8, 9.0
1712905965260160800, 49, 4, 9, 3.0
1712905967390961700, 50, 5, 9, 12.0
1712905969309096900, 51, 5, 8, 26.0
1712905971052405100, 52, 5, 7, 24.0
1712905972698077000, 53, 5, 6, 22.0
1712905974306277700, 54, 5, 5, 25.0
1712905976003241600, 55, 5, 4, 6.0
1712905977919784400, 56, 5, 3, 3.0
1712905979647552300, 57, 5, 2, 2.0
1712905981250222300, 58, 5, 1, 2.0
1712905982903923000, 59, 5, 0, 2.0
1712905985028471600, 60, 6, 0, 1.0
1712905987807970400, 61, 6, 1, 3.0
1712905989392835900, 62, 6, 2, 6.0
1712905991224203300, 63, 6, 3, 6.0
1712905992859178200, 64, 6, 4, 16.0
1712905994479452500, 65, 6, 5, 19.0
1712905996202972000, 66, 6, 6, 18.0
1712905997599687600, 67, 6, 7, 49.0
1712905999415081500, 68, 6, 8, 2.0
1712906001049429200, 69, 6, 9, 24.0
1712906003214529200, 70, 7, 9, 11.0
1712906005339746500, 71, 7, 8, 52.0
1712906007081071100, 72, 7, 7, 87.0
1712906008700639700, 73, 7, 6, 137.0
1712906010545677800, 74, 7, 5, 39.0
1712906016394229400, 75, 7, 4, 35.0
1712906018525044100, 76, 7, 3, 5.0
1712906020511518000, 77, 7, 2, 5.0
1712906022469565800, 78, 7, 1, 2.0
1712906024168004100, 79, 7, 0, 4.0
1712906026490203900, 80, 8, 0, 9.0
1712906029238935400, 81, 8, 1, 4.0
1712906031379017200, 82, 8, 2, 12.0
1712906032982713800, 83, 8, 3, 4.0
1712906034605849300, 84, 8, 4, 42.0
1712906036815131700, 85, 8, 5, 64.0
1712906038744635300, 86, 8, 6, 103.0
1712906040483554900, 87, 8, 7, 268.0
1712906042102650100, 88, 8, 8, 54.0
1712906043740747700, 89, 8, 9, 56.0
1712906046079037400, 90, 9, 9, 45.0
1712906049255195700, 91, 9, 8, 197.0
1712906050863883900, 92, 9, 7, 171.0
1712906052574111500, 93, 9, 6, 363.0
1712906054543270700, 94, 9, 5, 162.0
1712906056308516600, 95, 9, 4, 14.0
1712906058259802900, 96, 9, 3, 32.0
1712906059986075500, 97, 9, 2, 2.0
1712906061588560000, 98, 9, 1, 2.0
1712906063209320300, 99, 9, 0, 2.0
1712906071563130600, 101, 9, 6, 234.0
