time, timestep, x, y, lum
1712910371651557900, 0, 0, 0, 2.0
1712910375517001200, 1, 1, 1, 4.0
1712910377660505100, 2, 2, 2, 4.0
1712910380411444200, 3, 3, 3, 12.0
1712910383358910800, 4, 4, 4, 9.0
1712910385806482200, 5, 5, 5, 7.0
1712910387936036200, 6, 6, 6, 13.0
1712910390097376500, 7, 7, 7, 37.0
1712910392299958200, 8, 8, 8, 232.0
1712910395316918500, 9, 7, 8, 554.0
1712910397851223900, 10, 7, 9, 172.0
1712910402051000100, 11, 8, 7, 151.0
1712910405952775700, 12, 8, 9, 260.0
1712910410194011600, 13, 9, 7, 184.0
1712910413046125000, 14, 9, 8, 159.0
1712910414456948100, 15, 9, 9, 229.0
1712910418114177200, 16, 7, 8, 104.0
1712910420021847800, 17, 6, 7, 89.0
1712910423066018200, 18, 6, 8, 133.0
1712910424774900100, 19, 6, 9, 45.0
1712910428555261300, 20, 8, 9, 186.0
1712910430491453000, 21, 8, 8, 199.0
1712910433597215300, 22, 9, 9, 254.0
1712910433863776900, 23, 9, 9, 172.0
