time, timestep, x, y, lum
1712908048722498700, 0, 0, 0, 4.0
1712908051574138500, 1, 0, 1, 2.0
1712908053177559400, 2, 0, 2, 4.0
1712908055021176200, 3, 0, 3, 4.0
1712908056670833100, 4, 0, 4, 4.0
1712908059073361400, 5, 0, 5, 7.0
1712908061006525100, 6, 0, 6, 4.0
1712908062552354500, 7, 0, 7, 5.0
1712908064487767800, 8, 0, 8, 2.0
1712908066151645600, 9, 0, 9, 4.0
1712908068491730200, 10, 1, 9, 5.0
1712908070427098200, 11, 1, 8, 2.0
1712908072151728400, 12, 1, 7, 2.0
1712908073756341300, 13, 1, 6, 6.0
1712908075887193800, 14, 1, 5, 7.0
1712908077567383000, 15, 1, 4, 4.0
1712908079823732800, 16, 1, 3, 4.0
1712908081509539600, 17, 1, 2, 4.0
1712908083236211300, 18, 1, 1, 4.0
1712908084840591600, 19, 1, 0, 0.0
1712908087062415500, 20, 2, 0, 4.0
1712908089265361500, 21, 2, 1, 2.0
1712908090993813800, 22, 2, 2, 4.0
1712908092925135500, 23, 2, 3, 4.0
1712908094652419700, 24, 2, 4, 2.0
1712908096561945500, 25, 2, 5, 4.0
1712908098191891100, 26, 2, 6, 5.0
1712908099828176800, 27, 2, 7, 9.0
1712908101611479300, 28, 2, 8, 5.0
1712908103291472000, 29, 2, 9, 8.0
1712908105467056400, 30, 3, 9, 4.0
1712908107797746400, 31, 3, 8, 4.0
1712908109755863900, 32, 3, 7, 7.0
1712908111406856800, 33, 3, 6, 32.0
1712908113977445000, 34, 3, 5, 9.0
1712908115594774400, 35, 3, 4, 2.0
1712908117317789500, 36, 3, 3, 2.0
1712908119071547800, 37, 3, 2, 1.0
1712908120751835800, 38, 3, 1, 2.0
1712908123291162300, 39, 3, 0, 2.0
1712908125641764400, 40, 4, 0, 2.0
1712908127591677900, 41, 4, 1, 7.0
1712908129624330500, 42, 4, 2, 4.0
1712908131960575000, 43, 4, 3, 4.0
1712908133517806500, 44, 4, 4, 5.0
1712908135742553500, 45, 4, 5, 17.0
1712908137461647900, 46, 4, 6, 17.0
1712908139409028900, 47, 4, 7, 19.0
1712908141016364700, 48, 4, 8, 7.0
1712908143159848500, 49, 4, 9, 4.0
1712908145367252900, 50, 5, 9, 9.0
1712908147283839300, 51, 5, 8, 53.0
1712908148996377300, 52, 5, 7, 24.0
1712908153317537300, 53, 5, 6, 4.0
1712908155266319200, 54, 5, 5, 9.0
1712908156976131800, 55, 5, 4, 10.0
1712908158401672000, 56, 5, 3, 2.0
1712908160097398300, 57, 5, 2, 4.0
1712908161833882400, 58, 5, 1, 2.0
1712908163470172300, 59, 5, 0, 3.0
1712908165585967600, 60, 6, 0, 2.0
1712908167760865200, 61, 6, 1, 6.0
1712908169516690800, 62, 6, 2, 3.0
1712908171256307600, 63, 6, 3, 6.0
1712908173839652700, 64, 6, 4, 7.0
1712908175980665500, 65, 6, 5, 24.0
1712908177734992600, 66, 6, 6, 47.0
1712908179387924700, 67, 6, 7, 22.0
1712908181021475600, 68, 6, 8, 40.0
1712908182836056500, 69, 6, 9, 27.0
1712908185191077700, 70, 7, 9, 34.0
1712908187351290300, 71, 7, 8, 77.0
1712908189091566100, 72, 7, 7, 74.0
1712908190607677000, 73, 7, 6, 27.0
1712908192556639100, 74, 7, 5, 5.0
1712908194507324500, 75, 7, 4, 16.0
1712908196140317200, 76, 7, 3, 4.0
1712908198091821700, 77, 7, 2, 2.0
1712908199725856700, 78, 7, 1, 2.0
1712908201678172300, 79, 7, 0, 2.0
1712908204484598100, 80, 8, 0, 2.0
1712908207252380900, 81, 8, 1, 3.0
1712908210099898400, 82, 8, 2, 2.0
1712908212281518600, 83, 8, 3, 7.0
1712908214110792600, 84, 8, 4, 14.0
1712908216364640100, 85, 8, 5, 27.0
1712908218690436700, 86, 8, 6, 54.0
1712908220518668300, 87, 8, 7, 117.0
1712908222165275000, 88, 8, 8, 127.0
1712908223577446100, 89, 8, 9, 58.0
1712908226277955400, 90, 9, 9, 47.0
1712908228408624700, 91, 9, 8, 368.0
1712908230373527700, 92, 9, 7, 62.0
1712908231798531500, 93, 9, 6, 17.0
1712908233731788400, 94, 9, 5, 8.0
1712908235637866500, 95, 9, 4, 7.0
1712908237270488600, 96, 9, 3, 2.0
1712908239143982500, 97, 9, 2, 3.0
1712908241237671300, 98, 9, 1, 2.0
1712908243785491600, 99, 9, 0, 4.0
1712908257417200800, 101, 9, 8, 124.0
