time, timestep, x, y, lum
1712907190213583500, 0, 0, 0, 4.0
1712907193066854600, 1, 0, 1, 2.0
1712907194714767900, 2, 0, 2, 4.0
1712907196665214500, 3, 0, 3, 4.0
1712907198269920500, 4, 0, 4, 0.0
1712907199860882400, 5, 0, 5, 2.0
1712907201585594200, 6, 0, 6, 5.0
1712907202994319900, 7, 0, 7, 5.0
1712907204660137000, 8, 0, 8, 2.0
1712907206055764000, 9, 0, 9, 4.0
1712907208203685200, 10, 1, 9, 2.0
1712907210376987100, 11, 1, 8, 7.0
1712907212325610100, 12, 1, 7, 8.0
1712907213975242100, 13, 1, 6, 4.0
1712907221573111500, 14, 1, 5, 4.0
1712907223529781500, 15, 1, 4, 2.0
1712907225435903600, 16, 1, 3, 3.0
1712907229830916900, 17, 1, 2, 2.0
1712907231796745300, 18, 1, 1, 2.0
1712907234319238900, 19, 1, 0, 4.0
1712907236474717600, 20, 2, 0, 2.0
1712907238605005400, 21, 2, 1, 4.0
1712907240917663700, 22, 2, 2, 6.0
1712907242851730800, 23, 2, 3, 2.0
1712907245692563500, 24, 2, 4, 4.0
1712907247422487700, 25, 2, 5, 4.0
1712907248851831900, 26, 2, 6, 10.0
1712907250229479600, 27, 2, 7, 4.0
1712907252162574100, 28, 2, 8, 2.0
1712907254477163500, 29, 2, 9, 4.0
1712907256829528300, 30, 3, 9, 4.0
1712907258977715600, 31, 3, 8, 6.0
1712907260682614600, 32, 3, 7, 4.0
1712907263027803200, 33, 3, 6, 10.0
1712907264826885500, 34, 3, 5, 2.0
1712907266703362200, 35, 3, 4, 4.0
1712907268306107100, 36, 3, 3, 4.0
1712907269969589600, 37, 3, 2, 4.0
1712907271723688200, 38, 3, 1, 2.0
1712907274024666500, 39, 3, 0, 2.0
1712907276994194900, 40, 4, 0, 7.0
1712907279104909700, 41, 4, 1, 4.0
1712907280860743700, 42, 4, 2, 5.0
1712907282478250800, 43, 4, 3, 34.0
1712907284084127400, 44, 4, 4, 11.0
1712907285721031000, 45, 4, 5, 4.0
1712907287251362400, 46, 4, 6, 12.0
1712907288645072200, 47, 4, 7, 10.0
1712907290383811200, 48, 4, 8, 9.0
1712907293896626100, 49, 4, 9, 7.0
1712907296022550100, 50, 5, 9, 2.0
1712907298153953500, 51, 5, 8, 22.0
1712907300103181600, 52, 5, 7, 14.0
1712907301786532100, 53, 5, 6, 17.0
1712907303600190500, 54, 5, 5, 17.0
1712907305518724500, 55, 5, 4, 5.0
1712907307140018900, 56, 5, 3, 6.0
1712907308954117200, 57, 5, 2, 0.0
1712907313260998100, 58, 5, 1, 6.0
1712907315407417700, 59, 5, 0, 2.0
1712907317595646500, 60, 6, 0, 2.0
1712907319544927400, 61, 6, 1, 8.0
1712907321329939100, 62, 6, 2, 25.0
1712907323040547400, 63, 6, 3, 14.0
1712907324672955800, 64, 6, 4, 9.0
1712907326280268300, 65, 6, 5, 30.0
1712907327960399800, 66, 6, 6, 17.0
1712907329881268600, 67, 6, 7, 4.0
1712907333687463600, 68, 6, 8, 4.0
1712907335536617300, 69, 6, 9, 2.0
1712907337681008800, 70, 7, 9, 2.0
1712907339810137400, 71, 7, 8, 27.0
1712907341234352300, 72, 7, 7, 34.0
1712907342944346300, 73, 7, 6, 12.0
1712907344597415300, 74, 7, 5, 41.0
1712907346306555300, 75, 7, 4, 10.0
1712907348618620900, 76, 7, 3, 24.0
1712907350265987700, 77, 7, 2, 4.0
1712907352711664300, 78, 7, 1, 2.0
1712907354418173500, 79, 7, 0, 2.0
1712907356640884800, 80, 8, 0, 5.0
1712907358783679100, 81, 8, 1, 43.0
1712907360718810100, 82, 8, 2, 12.0
1712907362960567400, 83, 8, 3, 7.0
1712907364722469500, 84, 8, 4, 102.0
1712907366468972700, 85, 8, 5, 53.0
1712907368055055400, 86, 8, 6, 37.0
1712907371081836700, 87, 8, 7, 20.0
1712907372826212600, 88, 8, 8, 16.0
1712907374745789200, 89, 8, 9, 12.0
1712907376872421300, 90, 9, 9, 28.0
1712907378854587600, 91, 9, 8, 74.0
1712907380579133900, 92, 9, 7, 109.0
1712907382273711700, 93, 9, 6, 142.0
1712907384208570300, 94, 9, 5, 123.0
1712907386117565500, 95, 9, 4, 79.0
1712907389268578400, 96, 9, 3, 14.0
1712907390989759800, 97, 9, 2, 14.0
1712907393348839800, 98, 9, 1, 14.0
1712907395810450300, 99, 9, 0, 2.0
1712907464925044200, 101, 9, 6, 114.0
