time, timestep, x, y, lum
1712907524833777300, 0, 0, 0, 4.0
1712907528909251200, 1, 0, 1, 2.0
1712907531183042600, 2, 0, 2, 3.0
1712907533732136500, 3, 0, 3, 7.0
1712907535347223000, 4, 0, 4, 11.0
1712907537059582600, 5, 0, 5, 9.0
1712907538963032300, 6, 0, 6, 3.0
1712907540688486500, 7, 0, 7, 5.0
1712907542610658800, 8, 0, 8, 7.0
1712907544021216600, 9, 0, 9, 2.0
1712907546176449300, 10, 1, 9, 2.0
1712907548337454400, 11, 1, 8, 7.0
1712907550244310200, 12, 1, 7, 9.0
1712907551655091800, 13, 1, 6, 4.0
1712907554000323800, 14, 1, 5, 4.0
1712907555689618500, 15, 1, 4, 4.0
1712907557323927100, 16, 1, 3, 5.0
1712907559834520600, 17, 1, 2, 3.0
1712907564743723100, 18, 1, 1, 4.0
1712907566627378200, 19, 1, 0, 2.0
1712907569147845200, 20, 2, 0, 2.0
1712907571081245300, 21, 2, 1, 2.0
1712907572806310500, 22, 2, 2, 2.0
1712907574738379300, 23, 2, 3, 2.0
1712907576641677100, 24, 2, 4, 2.0
1712907578566232500, 25, 2, 5, 2.0
1712907580168309000, 26, 2, 6, 7.0
1712907585013344000, 27, 2, 7, 2.0
1712907586902400000, 28, 2, 8, 10.0
1712907588628952900, 29, 2, 9, 9.0
1712907590758452900, 30, 3, 9, 11.0
1712907592876196700, 31, 3, 8, 9.0
1712907594704631500, 32, 3, 7, 7.0
1712907596643378000, 33, 3, 6, 4.0
1712907598258977200, 34, 3, 5, 12.0
1712907600693191400, 35, 3, 4, 7.0
1712907602609009200, 36, 3, 3, 3.0
1712907604290786400, 37, 3, 2, 2.0
1712907606307879600, 38, 3, 1, 4.0
1712907608192206400, 39, 3, 0, 2.0
1712907610365793300, 40, 4, 0, 0.0
1712907613324078500, 41, 4, 1, 7.0
1712907615030358800, 42, 4, 2, 7.0
1712907616663774000, 43, 4, 3, 10.0
1712907618464695300, 44, 4, 4, 9.0
1712907620114813200, 45, 4, 5, 12.0
1712907621762536900, 46, 4, 6, 10.0
1712907623384041300, 47, 4, 7, 6.0
1712907625093203400, 48, 4, 8, 17.0
1712907626697608700, 49, 4, 9, 14.0
1712907629663110500, 50, 5, 9, 29.0
1712907631573536100, 51, 5, 8, 16.0
1712907633492038100, 52, 5, 7, 32.0
1712907635219918800, 53, 5, 6, 19.0
1712907637787131100, 54, 5, 5, 14.0
1712907639627381900, 55, 5, 4, 7.0
1712907641292452000, 56, 5, 3, 4.0
1712907643006454400, 57, 5, 2, 2.0
1712907644726771600, 58, 5, 1, 2.0
1712907646377049100, 59, 5, 0, 2.0
1712907648537616000, 60, 6, 0, 2.0
1712907650681653600, 61, 6, 1, 17.0
1712907652439323400, 62, 6, 2, 5.0
1712907654451656600, 63, 6, 3, 25.0
1712907656338801000, 64, 6, 4, 10.0
1712907658109009100, 65, 6, 5, 35.0
1712907659843420000, 66, 6, 6, 37.0
1712907661738655200, 67, 6, 7, 50.0
1712907663371730700, 68, 6, 8, 49.0
1712907665038683900, 69, 6, 9, 25.0
1712907667211268900, 70, 7, 9, 249.0
1712907669343513400, 71, 7, 8, 49.0
1712907671097493200, 72, 7, 7, 24.0
1712907672703703500, 73, 7, 6, 63.0
1712907674639724900, 74, 7, 5, 12.0
1712907676258632100, 75, 7, 4, 13.0
1712907679073195600, 76, 7, 3, 4.0
1712907681193951100, 77, 7, 2, 2.0
1712907683113728200, 78, 7, 1, 2.0
1712907685141661200, 79, 7, 0, 2.0
1712907687312271100, 80, 8, 0, 5.0
1712907689457075200, 81, 8, 1, 4.0
1712907691771673200, 82, 8, 2, 12.0
1712907693929615400, 83, 8, 3, 12.0
1712907695533234300, 84, 8, 4, 133.0
1712907697392565200, 85, 8, 5, 32.0
1712907699916432300, 86, 8, 6, 94.0
1712907701773302000, 87, 8, 7, 83.0
1712907703155464800, 88, 8, 8, 67.0
1712907704879304700, 89, 8, 9, 30.0
1712907707232646100, 90, 9, 9, 23.0
1712907709407391900, 91, 9, 8, 107.0
1712907710997573900, 92, 9, 7, 203.0
1712907712962622700, 93, 9, 6, 52.0
1712907714598439000, 94, 9, 5, 35.0
1712907716519296700, 95, 9, 4, 24.0
1712907717961363000, 96, 9, 3, 4.0
1712907719682818900, 97, 9, 2, 4.0
1712907721713281100, 98, 9, 1, 2.0
1712907723465336100, 99, 9, 0, 3.0
1712907735530992500, 101, 7, 9, 29.0
