time, timestep, x, y, lum
1712906382018538800, 0, 0, 0, 2.0
1712906384854090500, 1, 0, 1, 2.0
1712906386502458600, 2, 0, 2, 2.0
1712906388141092200, 3, 0, 3, 0.0
1712906389742868400, 4, 0, 4, 2.0
1712906392086735200, 5, 0, 5, 2.0
1712906394018957500, 6, 0, 6, 2.0
1712906396075032700, 7, 0, 7, 4.0
1712906397782614100, 8, 0, 8, 7.0
1712906399389963700, 9, 0, 9, 6.0
1712906402941086300, 10, 1, 9, 2.0
1712906405680314700, 11, 1, 8, 2.0
1712906407473713000, 12, 1, 7, 7.0
1712906409078033100, 13, 1, 6, 8.0
1712906411831006100, 14, 1, 5, 2.0
1712906413551832400, 15, 1, 4, 1.0
1712906415274690700, 16, 1, 3, 2.0
1712906417784782700, 17, 1, 2, 2.0
1712906419622595800, 18, 1, 1, 4.0
1712906421245863400, 19, 1, 0, 2.0
1712906423568521700, 20, 2, 0, 6.0
1712906425701000100, 21, 2, 1, 4.0
1712906427200313200, 22, 2, 2, 4.0
1712906429179515000, 23, 2, 3, 7.0
1712906430797931300, 24, 2, 4, 7.0
1712906432748735800, 25, 2, 5, 5.0
1712906434400809500, 26, 2, 6, 7.0
1712906436049208600, 27, 2, 7, 2.0
1712906437742984600, 28, 2, 8, 5.0
1712906439137600400, 29, 2, 9, 6.0
1712906441481168400, 30, 3, 9, 6.0
1712906443429527300, 31, 3, 8, 7.0
1712906444836721800, 32, 3, 7, 3.0
1712906446819969700, 33, 3, 6, 4.0
1712906448437143000, 34, 3, 5, 0.0
1712906450104088000, 35, 3, 4, 9.0
1712906451799551000, 36, 3, 3, 2.0
1712906453567213000, 37, 3, 2, 2.0
1712906455791782300, 38, 3, 1, 2.0
1712906458162242500, 39, 3, 0, 2.0
1712906460272788700, 40, 4, 0, 4.0
1712906462612459900, 41, 4, 1, 7.0
1712906464822591300, 42, 4, 2, 2.0
1712906466531526500, 43, 4, 3, 18.0
1712906468167655800, 44, 4, 4, 12.0
1712906470082231100, 45, 4, 5, 9.0
1712906471491841200, 46, 4, 6, 2.0
1712906473203074600, 47, 4, 7, 19.0
1712906474976040300, 48, 4, 8, 10.0
1712906476862852000, 49, 4, 9, 4.0
1712906479022107700, 50, 5, 9, 7.0
1712906481568264500, 51, 5, 8, 19.0
1712906483161555200, 52, 5, 7, 12.0
1712906485292829100, 53, 5, 6, 14.0
1712906486689046500, 54, 5, 5, 4.0
1712906488849708200, 55, 5, 4, 2.0
1712906490487614900, 56, 5, 3, 2.0
1712906492086566700, 57, 5, 2, 3.0
1712906493737552900, 58, 5, 1, 2.0
1712906495449076900, 59, 5, 0, 2.0
1712906497548049700, 60, 6, 0, 2.0
1712906499692840700, 61, 6, 1, 24.0
1712906501332215900, 62, 6, 2, 2.0
1712906503040826600, 63, 6, 3, 2.0
1712906504749644800, 64, 6, 4, 4.0
1712906506382131800, 65, 6, 5, 7.0
1712906508046347500, 66, 6, 6, 52.0
1712906509638764900, 67, 6, 7, 42.0
1712906511361837900, 68, 6, 8, 33.0
1712906513332103100, 69, 6, 9, 7.0
1712906516060987600, 70, 7, 9, 45.0
1712906518219129500, 71, 7, 8, 68.0
1712906520125834800, 72, 7, 7, 39.0
1712906522044715000, 73, 7, 6, 19.0
1712906523586805500, 74, 7, 5, 4.0
1712906525841787200, 75, 7, 4, 2.0
1712906528046867200, 76, 7, 3, 3.0
1712906530580335500, 77, 7, 2, 2.0
1712906532227549100, 78, 7, 1, 3.0
1712906534180122500, 79, 7, 0, 2.0
1712906536532505500, 80, 8, 0, 2.0
1712906538646923800, 81, 8, 1, 12.0
1712906540491215000, 82, 8, 2, 11.0
1712906542443202700, 83, 8, 3, 7.0
1712906544032482400, 84, 8, 4, 64.0
1712906545672020100, 85, 8, 5, 13.0
1712906547401723500, 86, 8, 6, 62.0
1712906549152688400, 87, 8, 7, 22.0
1712906550902326500, 88, 8, 8, 129.0
1712906553094596700, 89, 8, 9, 33.0
1712906555238182700, 90, 9, 9, 96.0
1712906557384828300, 91, 9, 8, 137.0
1712906559319501600, 92, 9, 7, 115.0
1712906560939608300, 93, 9, 6, 22.0
1712906562903454400, 94, 9, 5, 19.0
1712906565084236100, 95, 9, 4, 8.0
1712906566771940800, 96, 9, 3, 24.0
1712906568212076500, 97, 9, 2, 2.0
1712906569624263600, 98, 9, 1, 2.0
1712906571544925000, 99, 9, 0, 2.0
1712906581891488500, 101, 9, 8, 106.0
