time, timestep, x, y, lum
1712910606052181400, 0, 0, 0, 2.0
1712910609980461300, 1, 1, 1, 5.0
1712910612125676500, 2, 2, 2, 3.0
1712910614272144200, 3, 3, 3, 2.0
1712910617170866200, 4, 4, 4, 9.0
1712910619913135800, 5, 5, 5, 27.0
1712910622478792900, 6, 6, 6, 32.0
1712910624830214300, 7, 7, 7, 47.0
1712910626780293800, 8, 8, 8, 162.0
1712910629811671900, 9, 7, 8, 319.0
1712910632163230800, 10, 7, 9, 202.0
1712910636409291600, 11, 8, 7, 362.0
1712910640429723900, 12, 8, 9, 167.0
1712910644658207100, 13, 9, 7, 252.0
1712910647493133400, 14, 9, 8, 162.0
1712910652100807100, 15, 9, 9, 249.0
1712910656346654100, 16, 8, 7, 173.0
1712910658683914900, 17, 7, 6, 192.0
1712910661582250500, 18, 8, 6, 124.0
1712910663304475900, 19, 9, 6, 169.0
1712910667834149900, 20, 7, 8, 174.0
1712910670370335900, 21, 6, 7, 19.0
1712910673459744400, 22, 6, 8, 209.0
1712910675378970000, 23, 6, 9, 79.0
1712910678483443500, 24, 6, 8, 135.0
1712910680628918900, 25, 5, 7, 174.0
1712910683301232300, 26, 5, 8, 136.0
1712910685082715000, 27, 5, 9, 167.0
1712910688627987200, 28, 7, 9, 97.0
1712910691016547200, 29, 7, 8, 212.0
1712910691278802600, 30, 7, 8, 134.0
