time, timestep, x, y, lum
1712910745108503900, 0, 0, 0, 2.0
1712910749604740200, 1, 1, 1, 2.0
1712910751744052500, 2, 2, 2, 4.0
1712910754449962900, 3, 3, 3, 4.0
1712910757418567000, 4, 4, 4, 12.0
1712910759711437400, 5, 5, 5, 19.0
1712910762712021800, 6, 6, 6, 55.0
1712910765049603100, 7, 7, 7, 29.0
1712910767800610100, 8, 8, 8, 162.0
1712910770978556400, 9, 7, 8, 67.0
1712910773284347000, 10, 7, 9, 134.0
1712910777936505100, 11, 8, 7, 87.0
1712910781550922600, 12, 8, 9, 204.0
1712910785615116100, 13, 9, 7, 136.0
1712910788391370200, 14, 9, 8, 349.0
1712910790056510200, 15, 9, 9, 165.0
1712910792723585600, 16, 9, 8, 202.0
1712910795575589800, 17, 8, 9, 147.0
1712910798889648400, 18, 9, 8, 243.0
1712910799144208200, 19, 9, 8, 254.0
