time, timestep, x, y, lum
1712905628150341400, 0, 0, 0, 0.0
1712905631000346100, 1, 0, 1, 2.0
1712905632623084800, 2, 0, 2, 2.0
1712905635027265800, 3, 0, 3, 4.0
1712905639118896900, 4, 0, 4, 2.0
1712905641066643900, 5, 0, 5, 2.0
1712905642960785200, 6, 0, 6, 7.0
1712905644365331400, 7, 0, 7, 2.0
1712905646363788600, 8, 0, 8, 5.0
1712905648267837800, 9, 0, 9, 2.0
1712905650394724100, 10, 1, 9, 4.0
1712905652539909100, 11, 1, 8, 7.0
1712905654235756100, 12, 1, 7, 2.0
1712905655632164000, 13, 1, 6, 2.0
1712905657804107900, 14, 1, 5, 2.0
1712905659232635300, 15, 1, 4, 8.0
1712905661695765400, 16, 1, 3, 2.0
1712905663625153600, 17, 1, 2, 4.0
1712905665349621300, 18, 1, 1, 2.0
1712905667075155900, 19, 1, 0, 2.0
1712905669191817000, 20, 2, 0, 2.0
1712905671110048300, 21, 2, 1, 2.0
1712905672820441600, 22, 2, 2, 2.0
1712905674441159800, 23, 2, 3, 7.0
1712905676652557100, 24, 2, 4, 3.0
1712905678370774300, 25, 2, 5, 7.0
1712905680096999700, 26, 2, 6, 4.0
1712905681699464700, 27, 2, 7, 10.0
1712905684133410300, 28, 2, 8, 4.0
1712905686065026100, 29, 2, 9, 8.0
1712905688510709600, 30, 3, 9, 83.0
1712905690630484200, 31, 3, 8, 7.0
1712905692336436300, 32, 3, 7, 14.0
1712905694255054400, 33, 3, 6, 4.0
1712905696478761500, 34, 3, 5, 2.0
1712905698411725800, 35, 3, 4, 9.0
1712905700136371400, 36, 3, 3, 2.0
1712905701846471100, 37, 3, 2, 2.0
1712905703480936600, 38, 3, 1, 4.0
1712905705060369500, 39, 3, 0, 2.0
1712905707395789700, 40, 4, 0, 4.0
1712905709524226900, 41, 4, 1, 2.0
1712905711233128300, 42, 4, 2, 2.0
1712905714446489100, 43, 4, 3, 6.0
1712905716589833300, 44, 4, 4, 7.0
1712905718318116400, 45, 4, 5, 14.0
1712905719937740500, 46, 4, 6, 12.0
1712905722158671900, 47, 4, 7, 22.0
1712905723893679000, 48, 4, 8, 14.0
1712905725801854200, 49, 4, 9, 14.0
1712905728170342600, 50, 5, 9, 12.0
1712905730104363000, 51, 5, 8, 29.0
1712905731845183900, 52, 5, 7, 36.0
1712905734177179800, 53, 5, 6, 13.0
1712905736590140000, 54, 5, 5, 6.0
1712905738295540500, 55, 5, 4, 4.0
1712905740050176500, 56, 5, 3, 1.0
1712905741944108200, 57, 5, 2, 0.0
1712905744467185800, 58, 5, 1, 2.0
1712905746393972700, 59, 5, 0, 2.0
1712905749172064200, 60, 6, 0, 4.0
1712905751314298000, 61, 6, 1, 2.0
1712905753057424400, 62, 6, 2, 4.0
1712905755263336700, 63, 6, 3, 4.0
1712905756999337100, 64, 6, 4, 15.0
1712905758740754200, 65, 6, 5, 14.0
1712905760166681700, 66, 6, 6, 29.0
1712905761925511600, 67, 6, 7, 127.0
1712905764293904200, 68, 6, 8, 47.0
1712905766149501000, 69, 6, 9, 4.0
1712905768489927700, 70, 7, 9, 72.0
1712905770439029500, 71, 7, 8, 144.0
1712905772361591400, 72, 7, 7, 97.0
1712905774117388700, 73, 7, 6, 9.0
1712905775719728800, 74, 7, 5, 8.0
1712905777550078600, 75, 7, 4, 2.0
1712905778946499600, 76, 7, 3, 7.0
1712905780729159900, 77, 7, 2, 2.0
1712905782546285400, 78, 7, 1, 0.0
1712905784268482800, 79, 7, 0, 3.0
1712905786432052900, 80, 8, 0, 4.0
1712905788352244900, 81, 8, 1, 4.0
1712905790271783900, 82, 8, 2, 2.0
1712905791994216500, 83, 8, 3, 7.0
1712905793585265500, 84, 8, 4, 9.0
1712905795265146500, 85, 8, 5, 19.0
1712905796869139400, 86, 8, 6, 982.0
1712905798565112900, 87, 8, 7, 96.0
1712905800499445700, 88, 8, 8, 66.0
1712905802420970000, 89, 8, 9, 79.0
1712905804549403600, 90, 9, 9, 99.0
1712905806471665100, 91, 9, 8, 187.0
1712905808404724100, 92, 9, 7, 243.0
1712905810101074500, 93, 9, 6, 116.0
1712905811809290800, 94, 9, 5, 40.0
1712905813728775200, 95, 9, 4, 31.0
1712905815366106900, 96, 9, 3, 2.0
1712905816956218300, 97, 9, 2, 6.0
1712905818954407100, 98, 9, 1, 2.0
1712905821493538600, 99, 9, 0, 2.0
1712905832646710200, 101, 8, 6, 69.0
