time, timestep, x, y, lum
1712910029296054200, 0, 0, 0, 2.0
1712910033112653700, 1, 1, 1, 4.0
1712910035240843600, 2, 2, 2, 4.0
1712910037372361000, 3, 3, 3, 4.0
1712910039485464300, 4, 4, 4, 3.0
1712910041839977300, 5, 5, 5, 7.0
1712910043954277300, 6, 6, 6, 19.0
1712910046401284100, 7, 7, 7, 82.0
1712910048561793800, 8, 8, 8, 72.0
1712910050525127800, 9, 9, 9, 146.0
1712910053614633100, 10, 8, 9, 148.0
1712910056661139500, 11, 9, 8, 239.0
1712910057516378800, 12, 9, 8, 260.0
1712910060396141900, 13, 8, 7, 249.0
1712910063096547300, 14, 9, 7, 80.0
1712910065255064900, 15, 9, 8, 122.0
